date,followers,increase
2020-07-22,15654,
2020-07-23,15736,82
2020-07-24,15807,71
2020-07-25,20320,4513
2020-07-26,27851,7531
2020-07-27,33874,6023
2020-07-28,37815,3941
2020-07-29,39206,1391
2020-07-30,42377,3171
2020-07-31,45671,3294
2020-08-01,66369,20698
2020-08-02,76455,10086
2020-08-03,81603,5148
2020-08-04,149074,67471
2020-08-05,189082,40008
2020-08-06,220207,31125
2020-08-07,272538,52331
2020-08-08,365198,92660
2020-08-09,397957,32759
2020-08-10,432266,34309
2020-08-11,476958,44692
2020-08-12,521211,44253
2020-08-13,563981,42770
2020-08-14,627866,63885
2020-08-15,673477,45611
2020-08-16,734889,61412
2020-08-17,811093,76204
2020-08-18,929752,118659
2020-08-19,964613,34861
2020-08-20,1085980,121367
